SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SETS,CSC101L,CSC101L,4,1,40,34,GPLab-S,50,0,Lab for CSC101,4241-DR Md. Ashraful Amin,9:40,11:10,M,CSE,34,34,2019,Autumn,,3,
SETS,CSC101L,CSC101L,5,1,40,36,CSCLab3-S,35,0,Lab for CSC101,4416-MR Md. Fahad Monir,9:40,11:10,S,CSE,36,36,2019,Autumn,,3,
SETS,CSC101L,CSC101L,6,1,30,0,CSCLab3-S,35,B-0,Lab for CSC101,4416-MR Md. Fahad Monir,9:40,11:10,T,CSE,,0,2019,Autumn,,3,
SETS,CSC121,CSC121,1,3,41,27,CSCLab1-S,25,-1,Introduction to Computer Programming Language,4161-MR Subrata Kumar Dey,11:20,12:50,MW,CSE,27,81,2019,Autumn,,3,
SETS,CSC121L,CSC121L,1,1,41,29,CSCLab1-S,25,-1,Lab for CSC121,4161-MR Subrata Kumar Dey,9:40,11:10,W,CSE,29,29,2019,Autumn,,3,
SETS,CSE104,"CSE104,CEN104",1,3,45,0,BC5013-S,50,B-0,Electrical Circuit Analysis,T001-00 TBA TBA,8:00,9:30,ST,CSE,,0,2019,Autumn,,3,
SETS,CSE104,"CSE104,CEN104",2,3,45,39,BC10014-S,50,-1,Electrical Circuit Analysis,4409-MS Ajmiri Sabrina Khan,9:40,11:10,ST,CSE,39,117,2019,Autumn,,3,
SETS,CSE104,"CSE104,CEN104",3,3,45,37,BC7015-S,50,-1,Electrical Circuit Analysis,4409-MS Ajmiri Sabrina Khan,9:40,11:10,MW,CSE,37,111,2019,Autumn,,3,
SETS,CSE104,"CSE104,CEN104",4,3,45,35,BC3009-S,50,-1,Electrical Circuit Analysis,4285-DR Ferdows Zahid,11:20,12:50,MW,CSE,35,105,2019,Autumn,,3,
SETS,CSE104L,"CSE104L,CEN104L",1,1,38,0,CENLAB-S,45,B-0,Lab work based on CSE 104,T001-00 TBA TBA,8:00,9:30,R,CSE,,0,2019,Autumn,,3,
