SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,FreeSpace,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Year,Semester
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",1,1,36,36,-1,CSCLab1-S,35,0,Data Structure Lab,4449-MR Sheikh Abujar,11:00:00,12:30:00,S,2021,Spring
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",2,1,37,37,-2,CSCLab1-S,35,-1,Data Structure Lab,4397-MR Mohammad Motiur Rahman,11:00:00,12:30:00,T,2021,Spring
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",3,1,36,36,-1,CSCLab1-S,35,0,Data Structure Lab,4449-MR Sheikh Abujar,17:00:00,18:30:00,S,2021,Spring
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",4,1,36,36,-1,CSCLab1-S,35,0,Data Structure Lab,4453-MS Moumita Asad,11:00:00,12:30:00,W,2021,Spring
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",5,1,40,40,0,GPLab-S,40,-1,Data Structure Lab,4448-DR Farzana Rahman,09:30:00,11:00:00,W,2021,Spring
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",6,1,30,0,35,CSCLab3-S,35,B-0,Data Structure Lab,T001-00 TBA TBA,09:30:00,11:00:00,W,2021,Spring
SETS,CSE204,"CSE204,CEN204,CSC204",1,3,30,30,10,C3005-S,40,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,11:00:00,12:30:00,ST,2021,Spring
SETS,CSE204,"CSE204,CEN204,CSC204",2,3,35,31,19,BC7016-S,50,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE204,"CSE204,CEN204,CSC204",3,3,35,30,20,BC6012-S,50,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,14:00:00,15:30:00,MW,2021,Spring
SETS,CSE204,"CSE204,CEN204,CSC204",4,3,30,0,50,BC6013-S,50,B-0,Digital Logic Design,T001-00 TBA TBA,14:00:00,15:30:00,MW,2021,Spring
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",1,1,30,30,6,CENLAB-S,36,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,09:30:00,11:00:00,S,2021,Spring
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",2,1,35,31,5,CENLAB-S,36,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,14:00:00,15:30:00,S,2021,Spring
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",3,1,35,30,6,CENLAB-S,36,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,12:30:00,14:00:00,W,2021,Spring
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",4,1,30,0,45,CENLAB-S,45,B-0,Labwork based on CSE 204,T001-00 TBA TBA,15:30:00,17:00:00,W,2021,Spring
SETS,CSE210,"CSE210,CEN210",1,3,31,31,19,BC5014-S,50,-1,Electronics I,4285-DR Ferdows Zahid,17:00:00,18:30:00,ST,2021,Spring
SETS,CSE210,"CSE210,CEN210",2,3,30,21,19,C4004-S,40,-1,Electronics I,4383-DR Faisal Uddin,09:30:00,11:00:00,MW,2021,Spring
SETS,CSE210L,"CSE210L,CEN210L",1,1,32,32,4,CENLAB-S,36,-1,Labwork based on CSE 210,4285-DR Ferdows Zahid,15:30:00,17:00:00,T,2021,Spring
SETS,CSE210L,"CSE210L,CEN210L",2,1,30,29,7,CENLAB-S,36,-1,Labwork based on CSE 210,4435-MR Shahed Alam,08:00:00,09:30:00,M,2021,Spring
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",1,3,35,29,6,CSCLab3-S,35,-1,Algorithms,4408-MR Asif Bin Khaled,08:00:00,09:30:00,ST,2021,Spring
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",2,3,35,32,3,CSCLab3-S,35,-1,Algorithms,4408-MR Asif Bin Khaled,11:00:00,12:30:00,ST,2021,Spring
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",3,3,35,22,13,CSCLab3-S,35,-1,Algorithms,4448-DR Farzana Rahman,08:00:00,09:30:00,MW,2021,Spring
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",4,3,35,29,6,CSCLab2-S,35,-1,Algorithms,4408-MR Asif Bin Khaled,11:00:00,12:30:00,MW,2021,Spring
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",1,1,35,29,6,CSCLab3-S,35,0,Labwork based on CSE 211,4408-MR Asif Bin Khaled,09:30:00,11:00:00,S,2021,Spring
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",2,1,35,32,3,CSCLab3-S,35,0,Labwork based on CSE 211,4408-MR Asif Bin Khaled,09:30:00,11:00:00,T,2021,Spring
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",3,1,35,22,13,CSCLab3-S,35,-1,Labwork based on CSE 211,4448-DR Farzana Rahman,09:30:00,11:00:00,M,2021,Spring
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",4,1,35,29,6,CSCLab2-S,35,0,Labwork based on CSE 211,4408-MR Asif Bin Khaled,09:30:00,11:00:00,W,2021,Spring
SETS,CSE213,"CSE213,CSC305,CEN305",1,3,35,35,0,CSCLab2-S,35,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE213,"CSE213,CSC305,CEN305",2,3,36,36,-1,CSCLab2-S,35,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,15:30:00,17:00:00,ST,2021,Spring
SETS,CSE213,"CSE213,CSC305,CEN305",3,3,36,36,-1,CSCLab2-S,35,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,12:30:00,14:00:00,MW,2021,Spring
SETS,CSE213,"CSE213,CSC305,CEN305",4,3,30,0,30,CSCLab2-S,30,B-0,Object Oriented Programming,4161-MR Subrata Kumar Dey,15:30:00,17:00:00,MW,2021,Spring
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",1,1,35,35,0,CSCLab2-S,35,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,14:00:00,15:30:00,S,2021,Spring
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",2,1,36,36,-1,CSCLab2-S,35,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,14:00:00,15:30:00,T,2021,Spring
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",3,1,36,36,-1,CSCLab2-S,35,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,14:00:00,15:30:00,M,2021,Spring
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",4,1,30,0,30,CSCLab2-S,30,B-0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,14:00:00,15:30:00,W,2021,Spring
SETS,CSE214,"CSE214,CEN311,CSC311",1,3,30,0,40,C4004-S,40,B-0,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,11:00:00,12:30:00,ST,2021,Spring
SETS,CSE214,"CSE214,CEN311,CSC311",2,3,30,28,22,BC7025-S,50,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE214,"CSE214,CEN311,CSC311",3,3,30,16,34,BC5014-S,50,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,15:30:00,17:00:00,MW,2021,Spring
SETS,CSE216,"CSE216,CSC212,CEN212",1,3,30,30,10,C4005-S,40,-1,Microprocessor Interfacing & Assembly Language,4242-MR Prof. Farruk Ahmed,09:30:00,11:00:00,MW,2021,Spring
SETS,CSE216,"CSE216,CSC212,CEN212",2,3,30,30,20,BC6012-S,50,-1,Microprocessor Interfacing & Assembly Language,4242-MR Prof. Farruk Ahmed,12:30:00,14:00:00,MW,2021,Spring
SETS,CSE216,"CSE216,CSC212,CEN212",3,3,30,25,25,BC6013-S,50,-1,Microprocessor Interfacing & Assembly Language,4433-MR Hamidur Rahman,09:30:00,11:00:00,ST,2021,Spring
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",1,1,30,30,6,CENLAB-S,36,0,Labwork based on CSE 216,4427-MR Rubayed Mehedi,12:30:00,14:00:00,M,2021,Spring
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",2,1,30,30,6,CENLAB-S,36,0,Labwork based on CSE 216,4273-MR Sarwar Shahidi,11:00:00,12:30:00,M,2021,Spring
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",3,1,30,25,11,CENLAB-S,36,-1,Labwork based on CSE 216,4273-MR Sarwar Shahidi,08:00:00,09:30:00,S,2021,Spring
SETS,CSE303,"CSE303,CSC401,CEN401",1,3,36,36,4,GPLab-S,40,-1,Database Management,4434-MS Sadita Ahmed,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE303,"CSE303,CSC401,CEN401",2,3,31,31,4,CSCLab3-S,35,-1,Database Management,4348-MR Md. Abu Sayed,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE303,"CSE303,CSC401,CEN401",3,3,36,36,-1,CSCLab1-S,35,-1,Database Management,4184-DR Mahady Hasan,14:00:00,15:30:00,MW,2021,Spring
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",1,1,36,36,4,GPLab-S,40,0,Labwork based on CSE303,4434-MS Sadita Ahmed,14:00:00,15:30:00,S,2021,Spring
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",2,1,31,31,4,CSCLab3-S,35,0,Labwork based on CSE303,4348-MR Md. Abu Sayed,14:00:00,15:30:00,S,2021,Spring
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",3,1,36,36,-1,CSCLab1-S,35,0,Labwork based on CSE303,4184-DR Mahady Hasan,15:30:00,17:00:00,M,2021,Spring
SETS,CSE307,"CSE307,CSC405,CEN405",1,3,35,26,24,BC6012-S,50,-1,System Analysis and Design,4331-MS Sabrina Alam,08:00:00,09:30:00,ST,2021,Spring
SETS,CSE307,"CSE307,CSC405,CEN405",2,3,35,32,18,BC6009-S,50,-1,System Analysis and Design,4331-MS Sabrina Alam,08:00:00,09:30:00,MW,2021,Spring
SETS,CSE307,"CSE307,CSC405,CEN405",3,3,35,31,9,C4005-S,40,-1,System Analysis and Design,4331-MS Sabrina Alam,11:00:00,12:30:00,ST,2021,Spring
SETS,CSE309,"CSE309,CSC455,CEN455",1,3,36,36,-1,CSCLab1-S,35,-1,Web Application & Internet,4376-MR Sanzar Adnan Alam,08:00:00,09:30:00,ST,2021,Spring
SETS,CSE309,"CSE309,CSC455,CEN455",2,3,35,35,0,CSCLab1-S,35,-1,Web Application & Internet,4376-MR Sanzar Adnan Alam,08:00:00,09:30:00,MW,2021,Spring
SETS,CSE310,"CSE310,CEN310",1,3,30,23,27,BC6012-S,50,-1,Electronics II,4435-MR Shahed Alam,14:00:00,15:30:00,ST,2021,Spring
SETS,CSE310,"CSE310,CEN310",2,3,31,31,19,BC6007-S,50,-1,Electronics II,4248-DR Satyen Biswas,15:30:00,17:00:00,MW,2021,Spring
SETS,CSE310L,"CSE310L,CEN310L",1,1,31,29,7,CENLAB-S,36,-1,Labwork based on CSE 310,4435-MR Shahed Alam,12:30:00,14:00:00,S,2021,Spring
SETS,CSE310L,"CSE310L,CEN310L",2,1,32,32,4,CENLAB-S,36,-1,Labwork based on CSE 310,4435-MR Shahed Alam,14:00:00,15:30:00,M,2021,Spring
SETS,CSE313,"CSE313,CSC411",1,3,40,40,0,C2004-S,40,-1,Compiler Construction,4362-MR Bijoy Rahman Arif,15:30:00,17:00:00,ST,2021,Spring
SETS,CSE313,"CSE313,CSC411",2,3,45,45,5,BC5014-S,50,-1,Compiler Construction,4362-MR Bijoy Rahman Arif,17:00:00,18:30:00,MW,2021,Spring
SETS,CSE315,"CSE315,CSC413,CEN413",1,3,45,39,11,BC6013-S,50,-1,Design of Operating System,4137-MR Mohammad Noor Nabi,14:00:00,15:30:00,ST,2021,Spring
SETS,CSE315,"CSE315,CSC413,CEN413",2,3,45,44,6,BC6007-S,50,-1,Design of Operating System,4137-MR Mohammad Noor Nabi,17:00:00,18:30:00,MW,2021,Spring
SETS,CSE316,"CSE316,CSC430,CEN430",1,3,33,22,3,BC4014-S,25,-1,Data Communication & Computer Networks,4383-DR Faisal Uddin,11:00:00,12:30:00,MW,2021,Spring
SETS,CSE316,"CSE316,CSC430,CEN430",2,3,33,25,25,BC6013-S,50,-1,Data Communication & Computer Networks,4383-DR Faisal Uddin,12:30:00,14:00:00,MW,2021,Spring
SETS,CSE316,"CSE316,CSC430,CEN430",3,3,30,0,40,C2005-S,40,B-0,Data Communication & Computer Networks,T001-00 TBA TBA,15:30:00,17:00:00,ST,2021,Spring
SETS,CSE316,"CSE316,CSC430,CEN430",4,3,35,35,15,BC6008-S,50,-1,Data Communication & Computer Networks,4382-DR Tarem Ahmed,17:00:00,18:30:00,ST,2021,Spring
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",1,1,33,22,13,CSCLab3-S,35,-1,Labwork based on CSE 316,4382-DR Tarem Ahmed,12:30:00,14:00:00,M,2021,Spring
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",2,1,33,25,10,CSCLab3-S,35,-1,Labwork based on CSE 316,4382-DR Tarem Ahmed,14:00:00,15:30:00,M,2021,Spring
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",3,1,30,0,25,CSCLab1-S,25,B-0,Labwork based on CSE 316,T001-00 TBA TBA,17:00:00,18:30:00,T,2021,Spring
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",4,1,35,35,0,CSCLab3-S,35,0,Labwork based on CSE 316,4382-DR Tarem Ahmed,15:30:00,17:00:00,S,2021,Spring
SETS,CSE317,"CSE317,CSC317,CEN317",1,3,32,32,18,BC7026-S,50,-1,Numerical Methods,4401-MR AKM Mahbubur Rahman,12:30:00,14:00:00,ST,2021,Spring
SETS,CSE317,"CSE317,CSC317,CEN317",2,3,35,35,-10,CSCLab4-S,25,-1,Numerical Methods,4447-PROF A. R. Azimul Hoque,08:00:00,09:30:00,MW,2021,Spring
SETS,CSE317,"CSE317,CSC317,CEN317",3,3,30,26,24,BC6008-S,50,-1,Numerical Methods,4336-DR Amin Ahsan Ali,15:30:00,17:00:00,MW,2021,Spring
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",1,1,32,32,3,CSCLab1-S,35,-1,Labwork based on CSE317,4401-MR AKM Mahbubur Rahman,14:00:00,15:30:00,S,2021,Spring
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",2,1,35,35,-10,CSCLab4-S,25,-1,Labwork based on CSE317,4447-PROF A. R. Azimul Hoque,09:30:00,11:00:00,M,2021,Spring
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",3,1,30,26,9,CSCLab2-S,35,0,Labwork based on CSE317,4336-DR Amin Ahsan Ali,17:00:00,18:30:00,M,2021,Spring
SETS,CSE403,"CSE403,CSC403,CEN403,CNC507",1,3,40,38,12,BC5012-S,50,-1,Network Management,4432-DR Al-Sakib Khan Pathan,18:30:00,21:30:00,T,2021,Spring
SETS,CSE408,"CSE408,CSC408,CEN408,CNC501",1,3,40,33,17,BC5014-S,50,-1,Advanced Computer Network,4382-DR Tarem Ahmed,18:30:00,21:30:00,S,2021,Spring
SETS,CSE416,"SEN601,CSE416,CSC416,CEN416,CNC626,CSC601",1,3,52,43,7,BC5013-S,50,-1,Distributed Database Systems,3620-DR Zoha Rahman,18:30:00,21:30:00,M,2021,Spring
SETS,CSE416,"SEN601,CSE416,CSC416,CEN416,CNC626,CSC601",2,3,51,51,-1,BC6012-S,50,-1,Distributed Database Systems,4389-MR Mohammad Shibli Kaysar,18:30:00,21:30:00,M,2021,Spring
SETS,CSE424,"CSE424,CSC424,CEN424",1,3,20,3,47,BC5013-S,50,-1,Neural Networks,4401-MR AKM Mahbubur Rahman,18:30:00,21:30:00,S,2021,Spring
SETS,CSE425,"CSE425,CSC425,CEN425,CSC525",1,3,40,23,27,BC5012-S,50,-1,Artificial Intelligence,4336-DR Amin Ahsan Ali,18:30:00,21:30:00,M,2021,Spring
SETS,CSE441,"CSE441,CSC441,CEN441",1,3,35,31,19,BC5014-S,50,-1,Instrumentation & measurements,4433-MR Hamidur Rahman,18:30:00,21:30:00,T,2021,Spring
SETS,CSE451,"CSC445,CEN445,CNC618,CSC545,CSE451,SEN545",1,3,50,50,0,BC5014-S,50,-1,Software Engineering,4280-MS Nujhat Nahar,18:30:00,21:30:00,W,2021,Spring
SETS,CSE452,"CSE452,CSC452,CEN452,SEN650",1,3,40,20,30,BC6007-S,50,-1,Software Marketing,4184-DR Mahady Hasan,18:30:00,21:30:00,T,2021,Spring
SETS,CSE459,"CSE459,CSC459,CEN459,SEN565",1,3,40,30,20,BC6007-S,50,-1,Software Architecture and Component-Based Design,4331-MS Sabrina Alam,18:30:00,21:30:00,W,2021,Spring
SETS,CSE498,"CSE498,CEN498,CSC498",1,6,10,2,18,A4L04-S,20,0,Senior Project,4184-DR Mahady Hasan,08:00:00,09:30:00,F,2021,Spring
